row/column,1,2,3,4,,5,6,7,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,,,,,,29|19,27|18,16|29,,18|29,29|17,27|16,15|27,,27|14,27|13,27|12,19|38,,38|18,38|17,38|16,38|15,21|13
,,,,,,,,,,,,,,,,,,,,,,,,
2,15|28,37|19,37|17,17|26,,15|30,30|13,31|16,,22|18,36|15,17|22,22|16,22|15,22|14,22|13,22|12,21|19,21|18,21|17,21|16,21|15,21|14,36|13
3,,28|13,28|12,27|19,,15|31,13|31,31|17,,,,24|15,24|14,24|13,24|12,23|19,23|18,23|17,23|16,23|15,23|14,23|13,23|12,19|22
4,28|18,17|28,28|16,28|15,,,,,,16|24,,,36|12,35|19,35|18,35|17,35|16,35|15,35|14,35|13,35|12,24|19,24|18,38|14
5,,13|29,29|12,28|19,,,30|14,,,37|18,,,37|17,37|16,37|15,37|14,37|13,37|12,36|19,36|18,17|36,36|16,,36|14
6,16|24,15|29,,29|14,,19|30,14|31,30|17,,24|17,,12|38,,,,,13|38,,,,,38|12,,24|17
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Rows and columns are mapped from back of pcb, left to right, top to bottom",,,,,,,,,,,,,,
,,,,,,,,,,Numbers are pins on ic that activates switch,,,,,,,,,,,,,,
,,,,,,,,,,"Always left pin, then right pin (upper pin to lower pin)",,,,,,,,,,,,,,
